indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_de_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupos_articulos,subtotal_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2019-12-01,14196.566067571459,4845.189647156607,14196566.067569999,14157883.05868,38683.00889,14196566.067569999,6871133.07139,2695646.00746,2252098.72556,2377688.2631599996,14196566.067571457,9306813.4902168,2544329.794913,5734638.2209830005,34069.57052,720779.3683908,246874.59979,26121.935619999997,3715763.714699,3000.2050529860003,411263.56389667,759725.093706
2020-01-01,11451.841214799188,3734.8378886253367,11451841.214800002,11430426.022990001,21415.191810000004,11451841.214800002,5707634.73147,2051214.64971,1945615.2753799998,1747376.5582399997,11451841.214799188,6905626.3012757,1311485.7258086998,4738551.081055,22542.72305,634981.3297019999,176836.19599000004,21229.245669999997,3649741.466049999,2648.959037957,282488.329858526,611336.158577
2020-02-01,12120.3994361,3862.601993382899,12120399.4361,12108802.06222,11597.37388,12120399.4361,5984539.794430002,2209936.3753400003,2214992.5174300005,1710930.7488999998,12120399.4361,7561335.41074,1324769.4601699999,5299998.63875,23649.89725,684566.13905,203702.81478000002,24648.46074,3647253.4730499997,2387.77726,262172.24962,647250.52543
2020-03-01,15167.876417209782,4711.224527135376,15167876.41721,15154915.858509999,12960.5587,15167876.41721,7374801.742589999,2874298.4161999994,2920490.4954799996,1998285.7629399998,15167876.417209784,9515270.872749269,1291293.8272056,7010124.77592,28232.72513,918937.4816436688,237978.15883999996,28703.90401,4687271.21162,1747.7559732290001,237939.800492285,725646.7763749999
2020-04-01,12183.689740517906,3727.041859025032,12183689.740519999,12165796.489519998,17893.251,12183689.740519999,5695491.060740001,2357516.61429,1996391.72524,2134290.3402500004,12183689.740517907,7911202.861543867,1009007.14208561,5904309.134060001,21664.60731,771302.841778256,185597.63731999998,19321.49899,3488699.8367999997,2414.4517953179998,189603.83800072002,591768.752378
2020-05-01,12990.50029363831,3944.5222387314034,12990500.293639999,12978287.589639999,12212.704,12990500.293639999,5743524.419060001,2668727.5421100003,2452361.7846,2125886.54787,12990500.29363831,8240181.88067422,1195524.5711153,6000923.269087001,22230.85045,825440.334261919,176334.78515,19728.07061,3721119.8659300003,8695.208546089998,366931.881688,653571.4568
2020-06-01,13366.624243716873,4001.2204521626586,13366624.24372,13275223.485620001,91400.75809999999,13366624.24372,6205908.33165,2665848.0522099994,2291176.58481,2203691.27505,13366624.243716873,8493939.351337891,1244862.2623431,6248862.219374001,22065.98576,801314.81856079,157951.07208,18882.993219999997,3819847.4754399997,5743.656734583001,358594.2614403,688499.4987641
2020-07-01,13764.231496508088,4047.7749348731427,13764231.49651,13736295.90551,27935.591,13764231.49651,6354372.59884,2762689.21252,2362899.34705,2284270.3381,13764231.496508088,8735226.110287966,1332391.7321732,6402243.6541140005,23589.95064,780479.4227507671,177066.57504,19454.775569999998,3915802.5588650005,4530.5981223894,365919.14198773,742753.087245
2020-08-01,14038.308145642737,4030.805082699314,14038308.14564,13992692.681540001,45615.464100000005,14038308.14564,6581778.935720001,2701611.5032199994,2466424.47828,2288493.22842,14038308.145642737,8730150.9358189,1403233.1390216001,6276038.789841,21985.89385,813395.4036963,194484.81514999998,21012.89426,4063563.77312,4120.778057535,398651.98415130004,841820.6744950002
2020-09-01,13332.742696924199,3788.504059431267,13332742.69692,13244676.93481,88065.76211,13332742.69692,6275500.6348899985,2596378.0961100003,2303308.08703,2157555.8788900003,13332742.696924198,8302396.803427202,1337994.7836997001,5950285.637896001,22862.14902,770598.8525014999,198672.84414,21982.53617,3959289.5830699997,3751.4647895180005,341045.31736348,726259.5282739999
